"id_block" "species" "sample_size" "slope_temperature" "slope_rainfall" "abs_slope_temperature" "abs_slope_rainfall" "fam_sys_known50" "fam_sys_inferred50" "coop_num" "hand_wing_index" "migration" "mass" "logmass" "latitude" "abs_latitude"
"30" "1026_1" "Aythya_collaris" 24 0.1705499420497 0.005246665037 0.1705499420497 0.005246665037 "no_fam" "1_no_fam" 1 48.2 3 704.6 6.55763026590714 20 20
"31" "10283_3" "Pygoscelis_adeliae" 17 -0.0844556144242533 -0.01496657782404 0.0844556144242533 0.01496657782404 "no_fam" "1_no_fam" 1 7.4 2 4847.7 8.48625964464631 -64.767 64.767
"32" "1030_1" "Aythya_valisineria" 24 0.450113158495667 -0.0631270116475667 0.450113158495667 0.0631270116475667 "no_fam" "1_no_fam" 1 42 3 1202 7.09174211509515 20 20
"33" "1033_1" "Bucephala_albeola" 24 0.1989400279602 0.00296852443641 0.1989400279602 0.00296852443641 "no_fam" "1_no_fam" 1 47.4 3 397.5 5.98519493409439 20 20
"34" "10331_3" "Spheniscus_demersus" 18 -0.3606818885044 -0.139605268453667 0.3606818885044 0.139605268453667 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -32.08306 32.08306
"35" "10333_3" "Spheniscus_demersus" 18 -0.0863985575134333 0.0562494407932 0.0863985575134333 0.0562494407932 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -33.41667 33.41667
"36" "10334_2" "Spheniscus_demersus" 20 -0.0327304991436 0.0728897715141333 0.0327304991436 0.0728897715141333 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -34.68333 34.68333
"37" "10335_3" "Spheniscus_demersus" 18 -0.709785497283333 0.235843924503667 0.709785497283333 0.235843924503667 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -34.68333 34.68333
"38" "10337_3" "Spheniscus_demersus" 18 -0.191486405243933 -0.0065018017533 0.191486405243933 0.0065018017533 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -33.08278 33.08278
"39" "10338_3" "Spheniscus_demersus" 18 -0.0444001247493333 0.0508443701175 0.0444001247493333 0.0508443701175 "no_fam" "1_no_fam" 1 3.7 2 3130.1 8.04882023190563 -33.0525 33.0525
